date,FIold,IdV,LN,UdC,LADESTRA,PD,PdL,M5S,FdI,FIPDLFI,NCDUdC,SI,AP,MDP,LeU,E,I,NcI,CivP,EV,LS,IV,A,CI
2018-09-24,-100,-100,32.0,-100,-100,16.3,-100,28.6,3.7,8.3,-100,-100,-100,-100,2.4,2.5,-100,-100,-100,-100,-100,-100,-100,-100
2018-09-26,-100,-100,31.2,-100,-100,17.5,-100,28.7,3.1,8.9,-100,-100,-100,-100,2.7,2.0,-100,-100,-100,-100,-100,-100,-100,-100
2018-09-28,-100,-100,30.4,-100,-100,17.6,-100,28.4,3.5,8.2,-100,-100,-100,-100,2.5,2.4,-100,0.8,-100,-100,-100,-100,-100,-100
2018-10-01,-100,-100,31.6,-100,-100,15.975000000000001,-100,30.224999999999998,3.975,9.2,-100,-100,-100,-100,2.475,2.2,-100,0.3666666666666667,-100,-100,-100,-100,-100,-100
2018-10-02,-100,-100,32.5,-100,-100,16.5,-100,31.0,3.4,8.6,-100,-100,-100,-100,2.3,-100,-100,-100,-100,-100,-100,-100,-100,-100
2018-10-04,-100,-100,33.8,-100,-100,17.1,-100,28.5,2.4,7.8,-100,-100,-100,-100,2.4,1.9,-100,0.6,-100,-100,-100,-100,-100,-100
2018-10-07,-100,-100,30.7,-100,-100,16.7,-100,29.4,3.7,8.1,-100,-100,-100,-100,2.9,1.5,-100,0.6,-100,-100,-100,-100,-100,-100
2018-10-08,-100,-100,31.05,-100,-100,17.1,-100,28.75,3.5,9.7,-100,-100,-100,-100,2.3499999999999996,2.7,-100,-100,-100,-100,-100,-100,-100,-100
2018-10-12,-100,-100,31.65,-100,-100,17.2,-100,29.1,2.9000000000000004,8.5,-100,-100,-100,-100,2.3,2.25,-100,0.4,-100,-100,-100,-100,-100,-100
2018-10-13,-100,-100,34.3,-100,-100,18.6,-100,26.9,3.8,7.8,-100,-100,-100,-100,2.3,2.4,-100,1.4,-100,-100,-100,-100,-100,-100
2018-10-14,-100,-100,30.4,-100,-100,17.5,-100,28.7,3.6,11.2,-100,-100,-100,-100,2.1,-100,-100,-100,-100,-100,-100,-100,-100,-100
2018-10-15,-100,-100,30.5,-100,-100,17.1,-100,28.1,4.1,8.0,-100,-100,-100,-100,2.9,2.6,-100,-100,-100,-100,-100,-100,-100,-100
2018-10-17,-100,-100,31.1,-100,-100,16.45,-100,28.55,3.8,10.45,-100,-100,-100,-100,2.6,2.3,-100,0.45,-100,-100,-100,-100,-100,-100
2018-10-21,-100,-100,30.6,-100,-100,17.3,-100,28.1,3.95,9.45,-100,-100,-100,-100,2.9000000000000004,1.5,-100,0.8,-100,-100,-100,-100,-100,-100
2018-10-22,-100,-100,30.4,-100,-100,17.5,-100,29.1,3.7,7.6,-100,-100,-100,-100,2.7,2.7,-100,-100,-100,-100,-100,-100,-100,-100
2018-10-25,-100,-100,31.9,-100,-100,18.0,-100,27.4,3.6,7.2,-100,-100,-100,-100,2.8,2.1,-100,-100,-100,-100,-100,-100,-100,-100
2018-10-26,-100,-100,30.6,-100,-100,18.15,-100,27.1,3.3499999999999996,8.05,-100,-100,-100,-100,2.55,2.4000000000000004,-100,0.7,-100,-100,-100,-100,-100,-100
2018-10-27,-100,-100,32.1,-100,-100,18.4,-100,26.5,3.6,9.2,-100,-100,-100,-100,2.5,2.6,-100,1.6,-100,-100,-100,-100,-100,-100
2018-10-29,-100,-100,30.35,-100,-100,16.9,-100,29.6,4.0,9.05,-100,-100,-100,-100,2.5999999999999996,2.3,-100,-100,-100,-100,-100,-100,-100,-100
2018-10-31,-100,-100,32.4,-100,-100,17.033333333333335,-100,27.633333333333336,3.1333333333333333,8.4,-100,-100,-100,-100,2.6666666666666665,2.4,-100,0.4,-100,-100,-100,-100,-100,-100
2018-11-02,-100,-100,30.2,-100,-100,17.6,-100,27.1,4.1,11.0,-100,-100,-100,-100,2.5,-100,-100,-100,-100,-100,-100,-100,-100,-100
2018-11-05,-100,-100,30.45,-100,-100,17.4,-100,28.35,3.65,8.45,-100,-100,-100,-100,2.6,2.6,-100,-100,-100,-100,-100,-100,-100,-100
