date,size,firm,PP,PSOE,ERC,PNVEAJ,CC,BNG,Cs,VOX,Podemos,EHBildu,PACMA,PDeCAT,Comp,JuntsxCat,Naplus,MP,CUP
2016-07-01,NA,Invymark,33.6,22.5,NA,NA,NA,NA,11.7,NA,21.2,NA,NA,NA,NA,NA,NA,NA,NA
2016-07-11,2479,CIS,32.5,23.1,2.9,1.2,0.1,NA,12.0,NA,19.6,0.9,NA,1.7,NA,NA,NA,NA,NA
2016-07-15,1033,Simple Lógica,33.5,22.3,NA,NA,NA,NA,14.1,NA,21.6,NA,NA,NA,NA,NA,NA,NA,NA
2016-07-25,1000,NC Report,34.1,22.2,2.9,1.2,0.3,NA,12.3,NA,21.0,0.7,NA,2.0,NA,NA,NA,NA,NA
2016-08-02,NA,JM&A,32.7,22.8,2.8,1.3,0.4,NA,12.8,NA,21.0,0.8,NA,2.2,NA,NA,NA,NA,NA
2016-08-10,1049,Simple Lógica,35.4,22.8,NA,NA,NA,NA,12.3,NA,21.3,NA,NA,NA,NA,NA,NA,NA,NA
2016-08-27,1100,Celeste-Tel,34.0,22.3,2.5,1.3,0.3,0.2,12.7,NA,20.9,0.8,1.3,2.0,NA,NA,NA,NA,NA
2016-09-03,1000,NC Report,34.8,22.4,2.8,1.2,0.3,NA,12.1,NA,20.7,0.8,NA,1.9,NA,NA,NA,NA,NA
2016-09-07,1100,Estudio de Sociología Consultores,34.7,22.5,NA,NA,NA,NA,11.5,NA,19.5,NA,NA,NA,NA,NA,NA,NA,NA
2016-09-08,1294,Metroscopia,34.8,21.3,NA,NA,NA,NA,12.0,NA,21.1,NA,NA,NA,NA,NA,NA,NA,NA
2016-09-09,802,GAD3,33.9,21.1,2.7,1.2,0.3,NA,12.9,NA,20.5,0.8,NA,2.1,NA,NA,NA,NA,NA
2016-09-09,NA,Invymark,33.7,21.8,NA,NA,NA,NA,14.0,NA,20.1,NA,NA,NA,NA,NA,NA,NA,NA
2016-09-14,NA,JM&A,31.5,23.6,3.0,1.3,0.4,NA,13.7,NA,20.4,0.9,NA,2.2,NA,NA,NA,NA,NA
2016-09-14,995,MyWord,33.4,22.0,NA,NA,NA,NA,12.9,NA,20.6,NA,NA,NA,NA,NA,NA,NA,NA
2016-09-14,1046,Simple Lógica,33.6,23.7,NA,NA,NA,NA,12.8,NA,20.0,NA,NA,NA,NA,NA,NA,NA,NA
2016-09-28,2400,GAD3,35.4,19.8,2.7,1.4,0.4,NA,11.5,NA,20.9,1.0,NA,2.1,NA,NA,NA,NA,NA
2016-09-30,3400,GAD3,36.4,18.6,2.8,1.4,0.4,NA,11.9,NA,20.8,1.0,NA,2.1,NA,NA,NA,NA,NA
2016-09-30,1000,SocioMétrica,33.8,19.9,2.8,1.4,0.3,NA,14.6,NA,21.4,0.9,NA,1.9,NA,NA,NA,NA,NA
2016-10-03,NA,JM&A,33.0,20.3,2.8,1.3,0.4,NA,13.4,NA,22.6,0.8,NA,2.3,NA,NA,NA,NA,NA
2016-10-06,1100,Celeste-Tel,36.1,20.9,2.8,1.2,0.3,0.2,12.5,NA,20.5,0.8,1.3,2.0,NA,NA,NA,NA,NA
2016-10-06,1132,DYM,36.2,19.6,NA,NA,NA,NA,11.8,NA,21.7,NA,NA,NA,NA,NA,NA,NA,NA
2016-10-07,1100,Estudio de Sociología Consultores,36.5,19.4,NA,NA,NA,NA,12.5,NA,18.6,NA,NA,NA,NA,NA,NA,NA,NA
2016-10-07,NA,Invymark,34.1,20.0,2.6,1.2,NA,NA,13.4,NA,21.8,NA,NA,1.9,NA,NA,NA,NA,NA
2016-10-07,500,NC Report,36.7,19.9,NA,NA,NA,NA,11.9,NA,20.6,NA,NA,NA,NA,NA,NA,NA,NA
2016-10-10,2491,CIS,34.5,17.0,3.0,1.3,0.5,NA,12.8,NA,21.8,0.8,NA,1.7,NA,NA,NA,NA,NA
2016-10-11,1002,Simple Lógica,36.8,15.9,NA,NA,NA,NA,13.9,NA,23.5,NA,NA,NA,NA,NA,NA,NA,NA
2016-10-13,1388,Metroscopia,37.8,18.0,NA,NA,NA,NA,11.6,NA,22.1,NA,NA,NA,NA,NA,NA,NA,NA
2016-10-20,1800,JJD,35.0,14.0,NA,NA,NA,NA,14.0,NA,26.0,NA,NA,NA,NA,NA,NA,NA,NA
2016-10-28,NA,Invymark,35.3,18.5,2.7,1.2,NA,NA,12.0,NA,23.2,NA,NA,1.9,NA,NA,NA,NA,NA
2016-11-04,NA,Invymark,35.0,19.1,2.6,1.2,NA,NA,12.4,NA,22.6,NA,NA,1.8,NA,NA,NA,NA,NA
2016-11-07,1100,Celeste-Tel,36.2,20.4,2.8,1.2,0.3,0.2,12.8,NA,20.2,0.9,1.3,2.0,NA,NA,NA,NA,NA
2016-11-08,1003,Simple Lógica,34.1,17.6,NA,NA,NA,NA,14.5,NA,22.9,NA,NA,NA,NA,NA,NA,NA,NA
2016-11-11,1302,Metroscopia,35.7,17.9,NA,NA,NA,NA,13.0,NA,23.1,NA,NA,NA,NA,NA,NA,NA,NA
2016-11-12,1100,Estudio de Sociología Consultores,36.8,18.1,NA,NA,NA,NA,14.0,NA,18.2,NA,NA,NA,NA,NA,NA,NA,NA
2016-11-16,NA,JM&A,34.0,18.3,2.7,1.3,0.4,NA,13.1,NA,24.1,0.8,NA,2.2,NA,NA,NA,NA,NA
2016-11-18,NA,Invymark,34.8,19.5,2.5,1.2,NA,NA,12.1,NA,22.7,NA,NA,1.8,NA,NA,NA,NA,NA
